8c28009e891853e32f90b73dc35d9a98ecb67e28,Ballz0fSteel/Umeko,Ballz0fSteel,Umeko,master,cogs/economy.py,.py,28206,16,24542445,2,,https://stackoverflow.com/a/24542445,"https://raw.githubusercontent.com/Ballz0fSteel/Umeko/master/cogs/economy.py
"
f78fd74ddb1b03d884d6be38c641c9ea6fa39028,banditlev/meangarden,banditlev,meangarden,master,node_modules/jodid25519/lib/core.js,.js,20305,5329,596467,1,,https://stackoverflow.com/q/596467,"https://raw.githubusercontent.com/banditlev/meangarden/master/node_modules/jodid25519/lib/core.js
"
584f551a6da7343249fbb9bd2fe9082298e7c119,banditlev/meangarden,banditlev,meangarden,master,node_modules/npm/node_modules/mkdirp/node_modules/minimist/index.js,.js,5589,28371,1068308,2,,https://stackoverflow.com/a/1068308,"https://raw.githubusercontent.com/banditlev/meangarden/master/node_modules/npm/node_modules/mkdirp/node_modules/minimist/index.js
"
6a0559d58133a8ad26660c333fd458ebe5ebbccf,banditlev/meangarden,banditlev,meangarden,master,node_modules/meow/node_modules/minimist/index.js,.js,7189,19690,1068308,2,,https://stackoverflow.com/a/1068308,"https://raw.githubusercontent.com/banditlev/meangarden/master/node_modules/meow/node_modules/minimist/index.js
"
9984590f1a13a6fbcb5599fac6698f0b84651775,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/places.js/1.4.1/placesInstantsearchWidget.js,.js,259412,192,3148441,2,,https://stackoverflow.com/a/3148441,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/places.js/1.4.1/placesInstantsearchWidget.js
"
3ab4c30d3bfdda247e03fe053d1de2ff52f0d744,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/angular.textangular/1.4.3/textAngularSetup.js,.js,28403,439,2068344,1,,https://stackoverflow.com/q/2068344,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/angular.textangular/1.4.3/textAngularSetup.js
"
9dbd66778cc7be0650af1140a75b060a788c057e,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/angular.file-upload/6.2.1/FileAPI.js,.js,104188,11292,8856628,1,,https://stackoverflow.com/q/8856628,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/angular.file-upload/6.2.1/FileAPI.js
"
ee783acea8c8b6ad46b9909f366b806c24e1762f,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/tablesorter/2.16.1/js/extras/jquery.quicksearch.js,.js,4465,17474,20342203,1,,https://stackoverflow.com/q/20342203,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/tablesorter/2.16.1/js/extras/jquery.quicksearch.js
"
c497c2f8ed36e2da9846d1ff438734881a0ad4dc,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/howler.js/2.0.1/howler.js,.js,87737,47,24119684,1,,https://stackoverflow.com/q/24119684,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/howler.js/2.0.1/howler.js
"
c693fe3ed2e47e08cee076af7bf7ff9f6180aed0,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/pouchdb/3.0.3/pouchdb.js,.js,298130,2575,417184,2,,https://stackoverflow.com/a/417184,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/pouchdb/3.0.3/pouchdb.js
"
fc615204967295b3d8881d63280ec16053699139,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/algoliasearch/3.14.4/algoliasearch.js,.js,159521,216,3148441,2,,https://stackoverflow.com/a/3148441,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/algoliasearch/3.14.4/algoliasearch.js
"
ec0368d7c51229e1a73f5f0965cf56100aa02f4c,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/algoliasearch/3.9.4/algoliasearch.angular.js,.js,213958,296,3148441,2,,https://stackoverflow.com/a/3148441,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/algoliasearch/3.9.4/algoliasearch.angular.js
"
2ff69a8c97fef9149075eca3c939772e2c1bf846,barisaydinoglu/jsdelivr,barisaydinoglu,jsdelivr,master,files/videojs/4.2.1/video.dev.js,.js,200458,561,2486901,1,,https://stackoverflow.com/q/2486901,"https://raw.githubusercontent.com/barisaydinoglu/jsdelivr/master/files/videojs/4.2.1/video.dev.js
"
